country,domain,delphi_insample_mae,delphi_outsample_mae,delphi_insample_mape,delphi_outsample_mape,selftune_insample_mae,selftune_outsample_mae,selftune_insample_mape,selftune_outsample_mape,guided_insample_mae,guided_outsample_mae,guided_insample_mape,guided_outsample_mape,selftune_delphi_diff,guided_selftune_diff,guided_delphi_diff,best_method
Lesotho,,21.27451631611118,367.26120682321687,4.554426593016328,29.930383205771587,189.67416381835935,505.25201416015625,42.138519287109375,43.45302581787109,192.6510467529297,65.78997039794922,49.821475982666016,5.667051315307617,-137.99080733693938,439.46204376220703,301.47123642526765,Past-Guided
Latvia,,66.74979137509858,288.7727314091959,17.485047876032393,28.26089443728248,255.39306640625,113.2651824951172,86.95417785644531,11.160245895385742,216.3447113037109,89.23546600341797,64.41156005859375,8.782197952270508,175.5075489140787,24.029716491699233,199.53726540577793,Past-Guided
Egypt,,119.61262009233008,1261.0551201464511,15.098264454198636,11.124350803004122,149.98988342285156,2813.572021484375,24.439836502075195,22.98286819458008,155.13014221191406,4271.669921875,24.80498504638672,36.998077392578125,-1552.5169013379239,-1458.097900390625,-3010.6148017285486,DELPHI
Kuwait,,84.86901192491354,1769.679706595002,18.837846713756136,12.910759699371107,216.4237518310547,3564.93310546875,70.38378143310547,25.20313262939453,190.4696807861328,6551.8046875,65.84707641601562,51.83517074584961,-1795.253398873748,-2986.87158203125,-4782.124980904998,DELPHI
Kyrgyzstan,,4885.585328141172,6246.827782279029,25.835882874129467,10.775254975584106,32391.80859375,10215.771484375,186.316650390625,17.767988204956055,15015.7080078125,682.6276245117188,89.037353515625,1.187797784805298,-3968.9437020959713,9533.143859863281,5564.20015776731,Past-Guided
Haiti,,56.52547622487376,512.7146782603701,6.263904544264898,8.151665880873567,181.6322784423828,209.3046417236328,33.55704116821289,3.5756869316101074,225.10682678222656,312.0103759765625,38.10573959350586,5.440225124359131,303.41003653673727,-102.70573425292969,200.70430228380758,Self-tune
Bangladesh,,65.62742488948392,17924.23019594308,1.9021163760441704,24.639876621210437,644.9068603515625,23602.26953125,11.414297103881836,36.37120056152344,634.6691284179688,24114.041015625,14.085880279541016,37.4384765625,-5678.039335306919,-511.771484375,-6189.810819681919,DELPHI
Congo,,12.355422623075828,135.38695810861233,4.851265621963995,16.184334908841592,113.67100524902344,420.5469055175781,46.68306350708008,51.40276336669922,321.90704345703125,117.7263641357422,128.35609436035156,13.69760513305664,-285.15994740896576,302.82054138183594,17.66059397287013,Past-Guided
Indonesia,,59.54767676413202,297.47539301839174,7.137108444270678,1.720558318148745,133.2469482421875,2188.035888671875,9.562163352966309,11.943585395812988,227.4771423339844,2364.934326171875,13.818076133728027,12.821999549865724,-1890.5604956534833,-176.8984375,-2067.4589331534835,DELPHI
Kazakhstan,,53.963398865860654,2007.9509204183728,3.8658856986319914,20.20602236605884,144.7605743408203,1993.1629638671875,16.49796485900879,19.894147872924805,175.7236785888672,2349.917236328125,23.65852165222168,23.358732223510746,14.787956551185289,-356.7542724609375,-341.9663159097522,Self-tune
Mauritius,,17.491045796784576,28.37031265927757,5.758306121843923,8.505460497311237,91.91754913330078,93.50111389160156,34.33041000366211,28.0274600982666,258.4046936035156,295.0863952636719,89.80934143066406,88.44869995117188,-65.13080123232399,-201.5852813720703,-266.71608260439433,DELPHI
Argentina,,31.343197718811727,1695.2968728077988,2.8096689579101586,16.603366040164204,131.88792419433594,3307.8115234375,14.18554973602295,31.007347106933597,209.8998870849609,3240.498291015625,20.68808937072754,30.270282745361328,-1612.5146506297012,67.313232421875,-1545.2014182078262,DELPHI
Madagascar,,5.421160266147938,194.95709460127725,2.7433345026131644,15.853510435994869,192.2801513671875,647.6251220703125,127.12733459472656,57.80804443359375,361.01605224609375,352.9299011230469,229.7192840576172,30.295578002929688,-452.6680274690352,294.6952209472656,-157.97280652176963,DELPHI
Cameroon,,81.02013758606022,1256.2323955500842,9.296562651440263,20.33321141166591,427.9819641113281,3895.689208984375,30.76764297485352,68.81651306152344,146.2418670654297,2219.272705078125,14.17212963104248,35.50502395629883,-2639.456813434291,1676.41650390625,-963.0403095280408,DELPHI
Libya,,17.235424274573973,625.7495299424511,3.7542018401039177,17.547519518976543,111.18336486816406,781.688720703125,35.57679748535156,22.11743927001953,148.4027862548828,1339.3565673828125,40.71647644042969,41.68597412109375,-155.9391907606739,-557.6678466796875,-713.6070374403614,DELPHI
Isle of Man,,9.909013605034485,13.863451280005329,3.502648228436525,4.101612804735304,87.97378540039062,66.4312515258789,34.4444694519043,19.654216766357425,355.9830322265625,393.1799926757813,125.77125549316406,116.32544708251952,-52.56780024587358,-326.7487411499024,-379.31654139577597,DELPHI
French Guiana,,27.864132054018068,1390.7402657142634,12.758068957810734,51.3893245509397,177.55120849609375,1837.161865234375,104.39812469482422,73.66439819335938,323.27838134765625,1454.3267822265625,186.41763305664065,55.27363586425781,-446.4215995201116,382.8350830078125,-63.58651651229911,DELPHI
Georgia,,8.718864219586818,68.00038513779471,2.7712021864387397,8.87260847028513,127.1873779296875,171.18804931640625,49.57973861694336,22.61859130859375,168.39706420898438,114.7049789428711,62.17415237426758,15.342912673950195,-103.18766417861154,56.483070373535156,-46.704593805076385,DELPHI
Mali,,13.159952688730494,78.8505863789413,3.400818765517462,4.961556406869986,90.58870697021484,396.4913940429688,34.48653793334961,23.49262237548828,126.64925384521484,426.1160583496094,42.2290267944336,25.23494529724121,-317.64080766402753,-29.624664306640568,-347.26547197066805,DELPHI
Luxembourg,,368.7827947879486,346.24144382527766,19.72357376095939,11.398079632927626,3003.99462890625,2660.14794921875,158.40216064453125,87.53053283691406,2612.837158203125,2738.93359375,124.45864868164062,90.1219482421875,-2313.9065053934723,-78.78564453125,-2392.6921499247223,DELPHI
Maldives,,97.75973650817905,446.9869369559737,14.47903683887364,20.08929140976374,54.2290153503418,139.91952514648438,9.359013557434082,6.118862152099609,139.57774353027344,104.76276397705078,17.682334899902344,4.863793849945068,307.06741180948933,35.156761169433594,342.2241729789229,Past-Guided
French Polynesia,,11.860065734386566,808.7413838399917,2.822917122280744,24.22263276873637,124.01618957519533,690.1079711914062,36.566368103027344,20.787487030029297,233.133544921875,1025.619140625,53.15501022338867,31.18630790710449,118.63341264858548,-335.51116943359375,-216.87775678500827,Self-tune
Jersey,,4.316375241835967,5.682578045725865,1.981623655066967,1.9365008975764555,82.87477111816406,57.32890319824219,36.0474853515625,19.624948501586918,346.7421569824219,379.7817993164063,141.69473266601562,129.95738220214844,-51.646325152516326,-322.4528961181641,-374.09922127068046,DELPHI
Malta,,23.421263287807392,822.7757392880306,9.43762410948778,140.31413834276393,255.44195556640625,59.0492057800293,124.6093978881836,11.48248291015625,282.2798156738281,130.802734375,121.7566909790039,24.733583450317383,763.7265335080014,-71.7535285949707,691.9730049130306,Self-tune
India,,138.8699545023397,19589.507736782754,6.513020364353389,21.40904056990419,509.3786926269531,21259.02734375,33.90127944946289,22.592172622680664,432.6929321289063,25304.16015625,36.54643630981445,27.238534927368164,-1669.5196069672456,-4045.1328125,-5714.652419467246,DELPHI
El Salvador,,8.259198053061919,332.96986355287385,1.9920191899742548,9.984468863504825,184.96234130859372,1119.0662841796875,62.07706451416016,38.26466751098633,178.48416137695312,359.1184387207031,66.9003677368164,11.136492729187012,-786.0964206268136,759.9478454589844,-26.14857516782928,DELPHI
France,,1845.8680245806447,1413.8909150429736,58.1702669575778,6.424767775775505,5066.4306640625,16243.685546875,112.34908294677734,69.24356842041016,5738.3857421875,17710.798828125,76.8322525024414,75.69918060302734,-14829.794631832026,-1467.11328125,-16296.907913082026,DELPHI
