country,domain,delphi_train_mae,delphi_overall_mae,delphi_last15_mae,resnet-loss=mae-no_time-lr=1e-5_InSample_mae,resnet-loss=mae-no_time-lr=1e-5_OutSample_mae,resnet-loss=mae-no_time-lr=1e-5_InSample_mape,resnet-loss=mae-no_time-lr=1e-5_OutSample_mape
Nicaragua,,99.30017950020216,184.53441992590496,496.982330241912,221.63626098632807,568.7398071289062,0.1809207051992416,0.2681072056293487
Jordan,,20.254070994576868,60.86566813642128,179.1785960040102,239.95452880859372,103.84087371826172,0.3999923169612884,0.1517960727214813
Jersey,,28.349236090106047,68.12298434340528,221.99918210487644,345.4324035644531,378.81585693359375,0.5750333666801453,0.5644767880439758
Paraguay,,39.45683192870554,72.53015622599267,211.969209484754,220.5856170654297,109.1169891357422,0.4140323102474212,0.1120707020163536
North Macedonia,,67.28440063330937,124.19764271366304,334.3436611107162,188.29251098632807,145.91111755371094,0.2564688920974731,0.0790276601910591
Dominica,,7.506554302642915,128.38520431563984,568.162875773705,455.18310546875,509.2485961914063,0.7704963088035583,0.7771393656730652
Jamaica,,8.477313457660413,12.295806586373551,30.83845600158122,139.75184631347656,34.61359405517578,0.2647895216941833,0.0538201406598091
Mongolia,,4.822194543525519,1199.3927085750754,5631.424716607084,555.4954223632812,597.2252197265625,0.7311989665031433,0.7059605121612549
Philippines,,108.38246999485082,946.9429936232082,3381.0089864951733,384.8294982910156,2427.90234375,0.1899152100086212,0.2768554985523224
Senegal,,51.41669332826866,1426.2481025124944,6068.317773955326,206.2436981201172,238.90570068359372,0.3678695559501648,0.0860767140984535
Poland,,120.50333586346736,2369.5416138130367,10168.720055158396,884.1254272460938,1853.9149169921875,0.1473921239376068,0.1170767024159431
Armenia,,30.24437934610415,4792.362655917992,22185.7908163601,112.03965759277344,2340.0947265625,0.1426564753055572,0.975701093673706
Mexico,,741.2851441861624,2174.4785652170385,6748.007374745645,871.1724243164062,12288.0869140625,0.1222147643566131,0.2801803946495056
Panama,,50.99179170609603,245.81871518556173,962.2937564996564,199.3817596435547,2100.703369140625,0.0828895196318626,0.2900941967964172
Israel,,246.7319555743193,10224.834303195128,47144.83837269228,1567.997314453125,2342.400146484375,0.2099399119615554,0.1264272183179855
Nigeria,,55.54630601232154,150.56628389268607,311.3461493827034,247.26388549804688,2167.45361328125,0.272292822599411,0.2096698135137558
San Marino,,13.981445777424172,16.57733711810187,29.41387722764251,219.99685668945312,22.44327735900879,0.4089464247226715,0.0346983857452869
Canada,,1230.1436916071543,1102.8794887548406,995.110978379589,2499.783935546875,10151.4189453125,0.2000759392976761,0.1822248548269271
Bosnia and Herzegovina,,35.04027157276171,124.70998477978476,389.18448805865165,110.11815643310548,228.85877990722656,0.1529873162508011,0.1109373047947883
Maldives,,36.02219097871659,184.98934406317343,606.0668873313051,89.6253433227539,119.26140594482422,0.1060645878314971,0.0562488436698913
Morocco,,95.74882868822648,375.13380838247394,1135.2461278158637,250.54000854492188,325.4198608398437,0.1217997595667839,0.047404583543539
Somalia,,32.72096420417177,94.48187771554468,249.32599025714185,75.1351089477539,559.6942749023438,0.1045205816626548,0.2791438698768616
