Country,Domain,InSample_MAE,OutSample_MAE,InSample_MAPE,OutSample_MAPE
Sierra Leone,,401.42620849609375,190.66835021972656,113.99684143066406,13.261200904846191
Singapore,,550.6199340820312,11502.046875,170.03903198242188,82.50179290771484
Slovakia,,298.87518310546875,332.8975830078125,77.5250244140625,22.138141632080078
Slovenia,,1386.5606689453125,1184.98779296875,205.22927856445312,81.79706573486328
Solomon Islands,,574.7425537109375,498.87445068359375,20.482994079589844,4.964837551116943
Somalia,,231.0067138671875,1706.8199462890625,45.884883880615234,61.94826126098633
South Africa,,136.1100616455078,5942.35595703125,18.043386459350586,34.02175521850586
South Sudan,,326.92755126953125,511.8984680175781,72.92523956298828,24.048419952392578
Spain,,64516.8671875,212489.8125,119.72626495361328,99.24015045166016
Sri Lanka,,526.7415771484375,248.77745056152344,236.63978576660156,17.7424259185791
Sudan,,359.7679138183594,5434.41845703125,60.77854919433594,65.72936248779297
Suriname,,416.336669921875,871.7748413085938,126.4884033203125,40.2526969909668
Sweden,,391.4344482421875,2983.9853515625,27.321674346923828,11.586054801940918
Switzerland,,576.8558349609375,369.18084716796875,20.225826263427734,1.2478933334350586
Tajikistan,,298.6606140136719,309.46771240234375,19.068880081176758,5.420833587646484
Thailand,,352.5582275390625,2434.728515625,28.231245040893555,80.75194549560547
United Kingdom,,1326.5521240234375,25139.513671875,37.61393356323242,13.347028732299805
Togo,,710.667724609375,598.4415283203125,260.6646728515625,99.84615325927734
Tonga,,869.0210571289062,1966.8792724609375,169.37362670898438,22.16701316833496
Tunisia,,271.05523681640625,132.12493896484375,47.894351959228516,12.612969398498535
Turks and Caicos Islands,,581.5717163085938,430.23638916015625,210.44503784179688,63.62852096557617
Tuvalu,,898.8609008789062,1169.4249267578125,58.532806396484375,42.080780029296875
Uganda,,564.3663940429688,290.1513366699219,135.45352172851562,28.569204330444336
Ukraine,,3014.631591796875,15139.3720703125,107.75176239013672,91.86625671386719
United Arab Emirates,,529.604248046875,4218.04638671875,84.61865234375,19.903823852539062
United States Virgin Islands,,626.4132080078125,99.73308563232422,205.48513793945312,10.354618072509766
United States,,3558.049560546875,212963.328125,33.826576232910156,18.16084861755371
United States,Washington,542.5096435546875,1794.21435546875,26.829723358154297,10.181829452514648
United States,Illinois,1449.2177734375,39082.97265625,10.501471519470215,44.02644348144531
United States,California,784.9344482421875,15361.19921875,44.33119201660156,23.46265983581543
United States,Arizona,778.7955322265625,6314.900390625,22.26218605041504,42.860267639160156
United States,Massachusetts,830.7130126953125,13552.2568359375,65.16848754882812,17.21360969543457
United States,Wisconsin,524.706298828125,4823.4765625,22.03986358642578,37.68910217285156
United States,Texas,592.1978759765625,16129.3466796875,11.249911308288574,33.82142639160156
United States,Nebraska,740.5205688476562,2091.74560546875,68.68363952636719,15.945295333862305
United States,Utah,209.60882568359375,551.7481079101562,23.705293655395508,8.109404563903809
United States,Oregon,180.29934692382812,1047.41796875,35.737056732177734,27.84095573425293
United States,Florida,642.0249633789062,8354.5888671875,15.792521476745605,18.789512634277344
United States,New York,3803.71533203125,48132.4921875,41.037620544433594,14.568703651428223
United States,Rhode Island,401.5107421875,1423.7071533203125,45.940547943115234,11.070159912109375
United States,Georgia,540.8221435546875,9367.9375,18.62456512451172,26.477718353271484
United States,New Hampshire,271.6482238769531,974.4409790039062,48.782684326171875,23.31243133544922
United States,North Carolina,536.8966064453125,6588.6005859375,21.029552459716797,33.28942108154297
United States,New Jersey,3579.429443359375,31338.943359375,12.21005916595459,21.91630744934082
United States,Colorado,410.8421325683594,4076.47314453125,31.211225509643555,19.690616607666016
United States,Maryland,562.7706298828125,10497.0751953125,25.53297233581543,25.22416114807129
United States,Nevada,1393.219482421875,3896.73876953125,63.07175827026367,57.27873992919922
United States,Tennessee,400.6736755371094,5958.08154296875,15.54166030883789,33.2526741027832
United States,Hawaii,488.03631591796875,490.47467041015625,109.46771240234375,77.38678741455078
United States,Indiana,805.3257446289062,9666.50390625,15.693426132202148,32.51972198486328
United States,Kentucky,198.0764923095703,342.6285095214844,29.21608543395996,4.378002166748047
United States,Minnesota,479.1236572265625,6063.013671875,50.161781311035156,37.29981231689453
United States,Oklahoma,449.3859558105469,981.7147216796875,23.547035217285156,16.873260498046875
United States,Pennsylvania,932.7456665039062,13295.59765625,17.386417388916016,20.412405014038086
United States,South Carolina,253.2836151123047,1030.15869140625,23.744401931762695,10.549997329711914
