economy,time,EN.POP.DNST,GE.EST,IS.AIR.DPRT,NE.DAB.TOTL.CD,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GNP.PCAP.KD,SH.MED.PHYS.ZS,SH.UHC.NOPR.ZS,SH.XPD.CHEX.PC.CD,SH.XPD.EHEX.PC.CD,SH.XPD.GHED.PC.CD
SRB,YR2002,,-0.554945647716522,19935.0,19976331673.3516,17120906918.3503,2283.84668494941,3626.05766659455,,,173.26339722,,125.0397309
SRB,YR2003,,-0.665495097637177,17205.0,25827365964.2896,22482365321.7656,3005.42635224484,3785.67490154083,2.605,1.77,230.08865356,2.75925182,160.73910443
SRB,YR2004,,-0.25116753578186,19729.0,32404685396.3762,26141968161.0924,3502.80292389567,4128.52842161439,2.667,1.85,274.45532227,3.11439724,186.23793927
SRB,YR2005,,-0.360925853252411,17048.0,32413452688.9489,27683225959.2468,3720.47915467431,4308.13634901602,2.654,2.32,307.54705811,2.38690368,201.31896703
SRB,YR2006,84.742385090327,-0.238502889871597,19664.0,38336659925.1182,32482070360.3204,4382.61727851692,4512.06829471058,2.682,2.21,371.50604248,2.60879373,232.17671291
SRB,YR2007,84.3994854790761,-0.255289196968079,19971.0,52247928695.4588,43170990616.4729,5848.47640545105,4809.27374986873,2.751,2.32,547.22723389,3.17745556,333.9128746
SRB,YR2008,84.0409558655385,-0.249734953045845,19568.0,63569016662.6289,52194221468.5007,7101.04014116862,5122.85425853458,2.841,2.04,671.88702393,1.346271,415.75004858
SRB,YR2009,83.7046306883147,-0.0702016353607178,17208.0,51181420407.6318,45162894380.9318,6169.11419477823,5069.64361482573,2.872,1.81,575.262146,1.75832694,354.6495882
SRB,YR2010,83.3688085982163,-0.0760836377739906,16893.0,46929786733.1199,41819468691.8251,5735.42285659849,5095.74934720316,2.916,,545.33380127,4.89043876,332.67635906
SRB,YR2011,82.7132289046421,-0.132481977343559,17303.0,55565833576.5149,49258136128.9672,6809.15980400146,5148.24857144353,2.941,,618.89422607,5.03122126,378.27509697
SRB,YR2012,82.3127944203064,-0.173352405428886,16841.0,49277793375.9447,43309252921.0567,6015.94522756969,5170.12988938012,2.94,,559.90539551,4.19932375,347.79420523
SRB,YR2013,81.9132403384404,-0.178427875041962,18156.0,52370920714.1003,48394239474.6762,6755.07367461629,5308.36783900226,2.94,2.26,627.53302002,4.24587214,375.64127392
SRB,YR2014,81.529567802424,0.00223585497587919,28944.0,50863114463.67,47062202418.8864,6600.05621129155,5252.58213536722,2.903,,608.85858154,3.40640691,354.70669898
SRB,YR2015,81.1271781385776,-0.00153347186278552,31304.0,42448238316.8863,39655949731.3816,5588.9794435877,5328.78900618429,2.904,2.11,491.25177002,1.99714944,283.37759616
