economy,country,time,EN.POP.DNST,EN.POP.SLUM.UR.ZS,GE.EST,IS.AIR.DPRT,NE.DAB.TOTL.CD,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GNP.PCAP.KD,SH.MED.PHYS.ZS,SH.UHC.NOPR.ZS,SH.XPD.CHEX.PC.CD,SH.XPD.EHEX.PC.CD,SH.XPD.GHED.PC.CD
IND,India,YR1999,0.019128141858504203,,,0.017873001875130398,0.018401301317017633,0.017822370902039468,0.0018307549993847496,0.0039614673202993346,,,,,
IND,India,YR2000,0.01948002397132228,0.5504480867385071,0.4588155469026536,0.019648023656923124,0.017772076855810087,0.018194280041130478,0.0018352109303939653,0.004051952016844785,,0.2780979827089337,0.0011227132822396132,0.0,0.0004889422510955835
IND,India,YR2001,0.019835650648165788,,,0.020466319986541283,0.019227772185559173,0.01885635843038089,0.0018679059065958585,0.004219178222534162,,0.18587896253602307,0.0012831008939881295,0.0,0.0004889422510955835
IND,India,YR2002,0.0201913674398053,0.5433963209337689,0.4584658465100487,0.022914376636728812,0.020160817603477328,0.020002212896488836,0.0019465201557769978,0.004336264472867197,,,0.0012831008939881295,0.0,0.0004889422510955835
IND,India,YR2003,0.020542669562762014,,0.4676639055898598,0.026128249334020266,0.02347974212888114,0.02360542754117602,0.0022578996354793946,0.004679285829825741,,0.24927953890489912,0.0014434885057366456,0.0,0.0004889422510955835
IND,India,YR2004,0.020889325734653345,0.5363444541312535,0.46037424931828186,0.029982084419782454,0.027567595448269974,0.027546214366603667,0.002591134806028263,0.005050374534335068,,,0.0016840699233594198,0.002007317674937986,0.0004889422510955835
IND,India,YR2005,0.02122724021961123,,0.47685703416092007,0.0327243277102526,0.03229706179855517,0.03186685483044761,0.0029498562103048736,0.005447545082845982,,,0.0018444575351079363,0.0,0.000743044464836248
IND,India,YR2006,0.021553401988049475,0.5292926883265153,0.47754917348587356,0.04494698550781753,0.036924086280533765,0.036523303806261315,0.0033297519645568733,0.005881330021095624,,0.3112391930835735,0.0020048451468564527,0.0,0.000743044464836248
IND,India,YR2007,0.021871893810340097,,0.5248783121910369,0.05634530679230513,0.04899397257537866,0.047262714554956536,0.004246121338008251,0.006350975385394023,,0.20028818443804033,0.002566201787976259,0.002007317674937986,0.0008700955717065804
IND,India,YR2008,0.022185327728212318,0.5222409225217771,0.49499319868262165,0.05864839903947221,0.047406877287188794,0.04656968996707757,0.0041247695268721764,0.006463524237372944,,,0.0027265893997247756,0.002007317674937986,0.001124197785447245
IND,India,YR2009,0.022496230284683883,,0.49630432300504623,0.05960740193786909,0.05358281884415782,0.05212408237612395,0.004552951032141052,0.006962518531708801,,0.3890489913544669,0.0027265893997247756,0.0,0.0012512488923175774
IND,India,YR2010,0.02280838536325648,0.5151890557192618,0.5034233581506019,0.0617085716994682,0.06618238895396776,0.06508733993545254,0.005607489084580423,0.007502952197310637,,,0.003287946040844582,0.0,0.0015053511060582419
IND,India,YR2011,0.023121167769544527,,0.501569464855783,0.06888046981933217,0.0729365383699294,0.070814332320508,0.006018383109995187,0.00786027567158272,,0.4899135446685879,0.003528527458467356,0.0,0.0017594533197989066
IND,India,YR2012,0.023431347016847497,0.5081372899145237,0.46518353341557406,0.06714762414265923,0.07216916529732936,0.07099246086618802,0.005953676753486399,0.008206464257488584,,,0.003608721264341614,0.0,0.0017594533197989066
IND,India,YR2013,0.02373745866616763,,0.4650045448698211,0.0682336750921945,0.07086557352033675,0.0721221918797273,0.005970445754384662,0.00867950375798172,,,0.0041700779054614215,0.0,0.0016324022129285743
IND,India,YR2014,0.024033815811810504,0.5010855241097855,0.45172528107268856,0.07174362768071511,0.0784932096327507,0.0792075013266621,0.006476157251323875,0.00929822254746671,,,0.0042502717113356795,0.0,0.0016324022129285743
IND,India,YR2015,0.024321079638907832,,0.5132746003765751,0.07802708992575624,0.07996347820895787,0.08171144828485237,0.006601999144353652,0.010015184441945213,,,0.0043304655172099376,0.0,0.001886504426669239
IND,India,YR2016,0.024611099121294014,0.49403365730726995,0.5094784387046438,0.09086267781532704,0.0857064978810091,0.08913872157413134,0.007117253162363307,0.010811693167288309,,,0.004490853128958454,0.0,0.0020135555335395712
IND,India,YR2017,0.02489724743756171,,0.5052767719007101,0.10193314586320212,0.09972051394972485,0.10299344038013099,0.008128994714736567,0.011498614769813391,,0.3703170028818444,0.0042502717113356795,0.0,0.002394708854150568
IND,India,YR2018,0.025169571151024025,0.4869818915025318,0.5504927437236826,0.11883430826185205,0.10365924117652192,0.10499216486169162,0.008197116319125,0.01218393303234535,0.08001899560726582,,0.0043304655172099376,0.0,0.0025217599610209006
IND,India,YR2019,0.025429041883089264,,0.5236262695126744,0.11979396835201318,0.10827557623941475,0.11014583400299496,0.008511761269872983,0.01258123660051921,,,0.004571046934832712,0.0,0.0026488110678912326
IND,India,YR2020,0.02567318083319095,0.4869818915025318,0.5733646044236897,0.0577423715205944,0.10175960936502398,0.10390150508533325,0.007952884769592451,0.011585324839314992,0.08583640033242312,,0.004811628352455486,0.0,0.0029029132816318975
IND,India,YR2021,0.025878729280532177,,0.5480704419857981,0.07322296564888256,0.12275672721029884,0.12302895144679492,0.00934217481758269,0.012753264166665002,,,0.0056135664111980664,0.004014635349875972,0.003157015495372562
IND,India,YR2022,,,0.5724053268263529,,0.13137849086477907,0.13026166946167525,0.009824320214364825,0.013606749594864642,,,,,
IRL,Ireland,YR1985,0.002800780934914826,,,0.003218130531533174,0.0007998624811107733,0.0008262085379858968,0.02495922407132813,,,,,,
IRL,Ireland,YR1986,0.0028020572342613327,,,0.0033171499325034257,0.0010729679636072907,0.001115383774907917,0.03367971234616801,,,,,,
IRL,Ireland,YR1987,0.0028023485289504916,,,0.003624110075511205,0.001224173954728643,0.0013176027308863317,0.039781715252645095,,,,,,
IRL,Ireland,YR1988,0.0027903570298665158,,,0.006079791219573443,0.0013328850194420563,0.001467243873238895,0.04448962411663669,,,,,,
IRL,Ireland,YR1989,0.002779292593989453,,,0.00722841627082836,0.001391157221138065,0.0015241693824720407,0.046399207121945084,,,,,,
IRL,Ireland,YR1990,0.002781645969339202,,,0.007872042377134994,0.0017708288646709205,0.0019152196272595782,0.058254476237376264,,0.18520717084174285,,,,
