,country,domain,first_day_above_hundred,alpha,days,r_s,r_dth,p_dth,r_dthdecay,k1,k2,jump,t_jump,std_normal,k3
113,Russia,,2020-03-19,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
114,Canada,Alberta,2020-03-19,0.14013894357651757,60.40099344484986,10.335299520483993,0.4856502814073302,0.2386514953759362,4.533092944896481,2.7653056976291617,2.8772183787891086,5.0,83.85411559850372,46.115608888082086,0.6527367256394974
115,Reunion,,2020-03-27,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
116,Saint Barthelemy,,2020-11-13,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
117,Israel,,2020-03-12,0.47766479251306987,12.171456016724248,11.16020660762043,0.5,0.25,-0.2,4.289265821919262,1.4781889821749459,1.479855482732634,6.7606029170609165,85.08438264326139,0.53119149978068
118,Madagascar,,2020-04-12,0.1,-199.99378567132152,14.999435345725276,0.4896507030335553,0.25,4.989536946584791,0.26451802503121946,0.7876177134068776,2.397759499278239,194.14817976128472,19.614100130228543,0.2
119,Mongolia,,2020-05-16,1.4999663515003814,99.99737397687849,14.994866623800648,0.25152528504145044,0.24991516370651207,2.5085244601145624,0.001,0.001,4.999991043154013,145.41146347842624,99.9474424282765,0.2
120,Nauru,,2022-06-19,0.1,-200.0,15.0,0.1741387897400376,0.08883492962810415,5.0,5.0,2.1782527042506437,1.747616559267044,292.69717762991786,26.85521966119939,2.0
121,Italy,,2020-02-24,0.4419687238620891,63.81275355952937,14.666714646814121,0.30490559608525963,0.25,1.6993494443588568,4.684798180082384,1.4344900389524509,5.0,36.24553225055924,15.755515001645932,1.9888759300160874
122,Iraq,,2020-03-15,1.4999982457583356,-130.18953993332323,11.386265876248226,0.5,0.25,3.5837480085667495,3.7782885869888205,1.3787739795394047,4.999996015450524,58.998924069217104,26.946206094430227,0.2000727909192587
123,Mayotte,,2020-04-01,1.4991429133623424,-129.69519609851025,10.10070638392284,0.3908851617249433,0.25,4.99932144663457,1.6052803530282984,1.8351247266523951,1.305701831450726,102.97099247073749,44.54658266103995,0.31496412681609903
124,Bahrain,,2020-03-10,0.9309737172197694,-88.87899077327677,14.999537394288401,0.44229383953219203,0.010237368318323638,4.999883800892797,0.3367950626653901,0.463206113088758,4.999999216952671,8.75350624751658,0.7447114765781094,1.9998156681593593
125,French Polynesia,,2020-08-12,0.675742721921321,7.925319754900609,15.0,0.36884189957484204,0.038274671654068976,4.81114016513766,0.0014002346860977123,0.23644023580214196,1.5473668690733549,203.40679411374435,22.510205816648075,1.604828833903548
126,Kazakhstan,,2020-03-27,0.696688880520335,-199.9998801754425,14.99997977038775,0.21402123748559035,0.02950144109687552,4.999894457493684,0.0013839570703996216,4.866663926791156,5.0,3.9347600685815185,0.836043699335255,0.24101858548585353
