,country,domain,first_day_above_hundred,outsample_mape,overall_mape,train_mape,outsample_mae,overall_mae,train_mae
205,Sri Lanka,,2020-03-25,13.055267597125441,18.63053764435367,21.660575713499455,146.92106855388477,91.04322281682278,60.67482839450645
206,Tuvalu,,2022-11-05,14.638673716596774,18.718086877502945,20.93515924756064,406.8087425842244,398.8224679650184,394.4821013241455
207,Peru,,2020-03-18,49.94542972322856,29.211931416196357,17.94372581454842,51187.49843490785,18271.311312614165,382.07918093281637
208,United States,California,2020-03-08,10.653993230339474,7.305869513924949,5.486237059351843,6826.873278330825,2576.375150671827,266.32182042237196
209,United States,,2020-03-04,14.831616204826048,14.189657220075372,13.84076646749348,174325.86177639023,62345.53139863309,1486.6561933302903
210,United States,Nebraska,2020-03-27,12.173646421523138,9.090034945755248,7.41415914370748,1643.2587645603166,631.9711262920382,82.35827940710432
211,Trinidad and Tobago,,2020-04-07,1.5135151608957453,1.6333670007924375,1.6985038703015094,1.7729816942772982,1.8828167059359788,1.9425096470548269
212,Samoa,,2022-03-20,3.9556369504368054,7.861575095463875,9.984367565587279,485.4526130583323,347.8650351662159,273.08917761615265
213,United States,Massachusetts,2020-03-12,5.527541914556181,4.813278243680552,4.425091466030756,4523.857533240477,1850.4299174724963,397.4801262942459
214,Venezuela,,2020-03-28,999.0,999.0,999.0,999.0,999.0,999.0
215,Vietnam,,2020-03-23,999.0,999.0,999.0,999.0,999.0,999.0
216,United States,Rhode Island,2020-03-23,5.393551528694122,4.0262980382702045,3.283225489126771,751.0461266522954,300.9445945862962,56.3241967243402
217,United States,North Carolina,2020-03-19,31.619784951655028,12.582036531541558,2.2354341293059794,6776.949332938329,2422.662376503332,56.202074093008
