country,domain,first_day_above_hundred,alpha,days,r_s,r_dth,p_dth,r_dthdecay,k1,k2,jump,t_jump,std_normal,k3
Argentina,,2020-03-13,0.7924327962301706,6.917683512506509,12.404637009370749,0.3084124354731011,0.2324276963856425,3.3110587112144554,1.9288079479921432,2.934863921419589,0.5761021015302603,32.13851861465529,14.928263361136947,0.3315445012014248
El Salvador,,2020-04-10,0.2633455288119785,-139.4342090966094,11.211540068223425,0.02,0.0560538498127778,4.999771998915088,0.001693221716045,0.29330214831541,3.2314386444549674,0.0,29.933985893708154,0.9215343755159708
Bangladesh,,2020-04-06,1.224040649475454,-7.418102913172314,1.199661703486356,0.2256025519560211,0.25,1.296508438413876,2.35215867942337,3.831437500219379,3.4207714209111098,117.19621492959496,34.86632292234754,1.262140266034651
Gabon,,2020-04-18,1.3773186485424282,9.834094251441076,5.0431951358645,0.3312271704677768,0.2499975232767652,2.6001352565194966,0.1825698542376491,0.0581479215900875,0.1919816823889477,28.5164101252071,87.90109130354051,0.2530544012281882
Guatemala,,2020-04-11,0.4219267798209815,-135.46047034967796,2.5414537586227075,0.4506275379284076,0.0524564359452034,0.700353026863812,1.5474683569812626,1.219574870175126,1.8731376215459885,63.14721709431189,63.339087952922405,0.3355770303833313
Germany,,2020-03-01,0.9611492605374546,17.99204571320169,2.9296761918452154,0.1417668628054501,0.0482892564898958,2.3040390131213626,4.821108968631397,4.636141474501197,3.087859140741736,46.56157661177194,1.375332223539669,0.2683161698478377
Benin,,2020-05-10,0.4413468510663687,42.30498824330959,1.9915864741069655,0.0200703814839797,0.0616412601792123,4.99992580709606,0.4638655403982669,0.0959715682048451,3.108646837251073,266.7190643803198,65.68448802954421,0.2000688843226158
Guam,,2020-04-06,1.4970269094880952,-199.93676647478677,8.843688819806797,0.2908817221802587,0.01,0.3334588899838671,0.0011743870104044,0.7649413876717145,4.99988724701056,243.220910688246,86.95827144456285,0.2001536232779779
Grenada,,2020-12-22,1.471204038316491,-104.450217855657,1.007666093666369,0.1659391702862641,0.0153962903845411,0.2652337604293466,0.001,0.3373627470697401,0.886720862808511,259.30610137506324,99.50751908220715,0.5980197190400263
Guadeloupe,,2020-03-31,1.212487608179885,-199.99994171856005,14.9998416139664,0.2886575538216512,0.064167433815098,1.5926758483055452,0.0194573879396942,0.141802983900006,4.928017987302153,163.44186463095244,54.87447764720719,1.9409024127269088
France,,2020-05-17,0.1007948525593894,-109.43107215625992,8.521733216028966,0.1984675771133527,0.1370107655576718,2.6711284656373886,4.852959232225612,1.3707743022110164,3.0667333128393044,44.45642896759864,50.29792535688205,1.7246113956835232
French Polynesia,,2020-08-12,0.174453142759015,31.368729007314325,6.523047779429767,0.483493193215652,0.230939353457208,1.48832962150999,4.845252269923889,1.9889846099262167,1.6188399293985198,105.11371981535264,82.66350099970595,0.2238409413840471
Hungary,,2020-03-21,0.4367023244829052,12.884069019942569,1.836498366616527,0.0916525160036907,0.0886832961015666,3.4888218252408643,2.539284930941745,0.7487119572146139,0.3040985882181085,0.2226760577843396,58.04066513333135,0.6969437494452625
Micronesia (country),,2022-07-22,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Bulgaria,,2020-03-22,0.2346488326395807,34.67844010700376,15.0,0.2757233201838902,0.25,1.7528441801765964,0.001,1.2421238465771425,5.0,173.9061705057096,65.92080146052878,0.440934825197228
Australia,Victoria,2020-03-18,0.2518808051369827,6.995756400785128,15.0,0.3800591141394902,0.057932148316923,2.5112976232514863,3.637033180992309,0.0010583805236309,4.999965931229433,50.87414769181993,7.4959466493709455,1.627507320966692
Guernsey,,2020-04-03,0.1007629278872191,-199.9713406011266,14.999386748697624,0.2333172018839318,0.2355018662579828,1.1250851141088185,0.7311980140013153,0.4623702739790205,3.568646204163663,293.57651063927915,8.874532778394729,1.368834175429132
