country,domain,delphi_insample_mae,delphi_outsample_mae,delphi_insample_mape,delphi_outsample_mape,selftune_insample_mae,selftune_outsample_mae,selftune_insample_mape,selftune_outsample_mape,guided_insample_mae,guided_outsample_mae,guided_insample_mape,guided_outsample_mape
Canada,Manitoba,3.043249261966924,6.682522240813958,1.3641832494139172,2.267565157754793,300.4819030761719,335.2197265625,0.5279095768928528,0.5325868725776672,689.9068603515625,760.5504760742188,0.7159348726272583,0.7210720777511597
Dominican Republic,,151.85321868873842,2739.075826584891,9.15971680177342,18.414556893597865,245.47164916992188,3535.891845703125,0.1067410483956337,0.3505418300628662,281.3365783691406,3478.67919921875,0.1305364966392517,0.3424811959266662
Egypt,,43.48611579988948,1300.825534788325,6.793132298506337,11.229998126808846,209.88333129882807,2768.130615234375,0.1786786019802093,0.3528713881969452,254.4888153076172,3615.098388671875,0.2010345011949539,0.5444223284721375
Croatia,,17.081150056004454,88.66185233375597,1.947786315952228,3.991625835325305,125.9217300415039,124.2413330078125,0.0877536311745643,0.0533960126340389,124.10952758789062,82.93230438232422,0.0988801345229148,0.0363004766404628
British Virgin Islands,,2.741734278740687,88.88071790721068,2.070419493183528,57.75209714908869,449.6459045410156,513.7694091796875,0.7484300136566162,0.7699812054634094,962.0811157226562,1064.725341796875,0.8572253584861755,0.8740113377571106
American Samoa,,172.40654256864772,271.395367083802,14.112078170412138,4.629379203891717,341.2224426269531,486.1612243652344,0.2340115308761596,0.0774428471922874,275.46881103515625,213.27345275878903,0.2057961970567703,0.0355807580053806
Finland,,155.60550367419486,397.7617337264788,10.915822792158664,6.421714918127976,317.0555114746094,393.7374877929688,0.0809748694300651,0.0697844624519348,257.0876770019531,510.5634765625,0.0757525712251663,0.0929983630776405
Australia,Queensland,11.073992996661234,10.119984833011594,1.8795637998627508,0.9599665661352634,51.86222457885742,39.08027267456055,0.0779800936579704,0.0357890613377094,271.3569641113281,192.59616088867188,0.2631498575210571,0.1546227037906646
Canada,British Columbia,19.9674920514973,19.7635176695657,2.8323436797587704,0.8194767225799762,96.30862426757812,465.44476318359375,0.0949532464146614,0.2449134439229965,101.91544342041016,408.5487365722656,0.1057833433151245,0.208673745393753
Antigua and Barbuda,,1.2311085697889597,2.6548760836457475,1.068326580308708,1.8903815338004808,427.3389892578125,485.2114868164063,0.7600222826004028,0.7773705720901489,850.47802734375,943.4547729492188,0.8565394282341003,0.8716208934783936
Central African Republic,,38.656499173072646,618.7990384264804,5.516446502632105,13.753940964380323,150.86752319335938,671.5343017578125,0.2155486494302749,0.1800239831209182,153.5824432373047,1023.5377807617188,0.2255889475345611,0.3104087710380554
Burkina Faso,,17.819832409736126,2088.374650262393,4.659373174912088,243.36698110204352,136.01425170898438,102.1904754638672,0.2426653802394867,0.1440376192331314,274.2458190917969,48.51407241821289,0.3774687051773071,0.0567862316966056
Ethiopia,,17.719411106877548,5524.635304309181,5.86108374359314,120.54276361136654,290.3540344238281,920.9688720703124,0.50379878282547,0.3255882263183594,342.3748474121094,486.2415161132813,0.5318173766136169,0.1357911676168441
Afghanistan,,49.90912678431144,4416.39945710892,4.871290038516602,28.56354556754175,156.5855712890625,4890.38818359375,0.1432698965072631,0.6398912668228149,176.7239532470703,5102.45068359375,0.1635749340057373,0.694469153881073
Estonia,,1338.5674694343147,1869.3722222240456,127.6200224960506,26.795322789519982,776.5817260742188,428.64263916015625,0.281566172838211,0.0578848011791706,812.590087890625,373.93267822265625,0.2957254350185394,0.056619644165039
Djibouti,,149.89430882653943,12555.13961870304,22.798780707638365,306.186847295832,177.83038330078125,1715.515625,0.2318058609962463,0.8616279363632202,152.79310607910156,2262.63916015625,0.1881236881017685,1.5870062112808228
Cook Islands,,461.14516860880616,1627.500585365956,31.64912805811278,31.889565401290675,339.7089233398437,1811.7845458984373,0.2383768260478973,0.5544381737709045,314.5652160644531,1819.47021484375,0.2253631949424743,0.5582155585289001
Canada,Saskatchewan,4.450784072980955,40.33586806779856,1.5052327875095657,6.493479099862895,221.50491333007807,20.209136962890625,0.4001227617263794,0.0318361893296241,416.4303894042969,227.80799865722656,0.5507376790046692,0.2682162523269653
Faroe Islands,,11.415902322624111,13.333124107172926,6.509501950639897,7.130012891536325,444.8541564941406,523.5640869140625,0.6944615840911865,0.7368287444114685,902.1926879882812,1020.8434448242188,0.8161344528198242,0.8451786041259766
Argentina,,29.08190662080592,1345.4262942736843,3.1668588678014045,11.304727259624194,277.4229736328125,2686.060302734375,0.1385327875614166,0.3945086300373077,377.0776977539063,2301.4736328125,0.1703463494777679,0.3101819455623626
El Salvador,,13.77203813594184,344.710627109686,3.875216575256215,9.865946316447852,175.10845947265625,309.9176940917969,0.306361973285675,0.1027765795588493,212.51138305664065,401.8096923828125,0.3334291875362396,0.1428876519203186
Bangladesh,,381.1826136357553,81663.97228772954,20.646822785941144,105.86512328116764,1526.37939453125,23055.150390625,0.1390978842973709,0.6605660319328308,1983.1552734375,20137.486328125,0.1614725291728973,0.524381697177887
Gabon,,54.1746392138919,464.26927865405565,10.792148693992068,12.254317286825014,194.83175659179688,634.587646484375,0.2808650434017181,0.189298465847969,202.0296630859375,714.0958251953125,0.2944133579730987,0.2218165099620819
Guatemala,,36.62612315578814,7041.010931488976,5.250471961241956,77.25435050914496,175.82691955566406,2502.612060546875,0.2565281093120575,0.5045048594474792,230.7078399658203,1736.7279052734375,0.3001594245433807,0.2890745103359222
Germany,,4867.039566666797,107296.80016057169,52.64622124174947,67.53397007466192,6326.8994140625,6896.55615234375,0.2998398840427398,0.0447595380246639,5706.5,18516.248046875,0.3186095952987671,0.1090264618396759
Benin,,24.88289951560892,194.8172840069736,8.831874962951225,14.709439228698592,295.11248779296875,474.3186645507813,0.5058762431144714,0.5850582122802734,456.1739196777344,395.4848327636719,0.5913305878639221,0.4478893280029297
Guam,,1.7878112771355703,9.350364126390076,1.295160999487193,5.457327171172756,462.1997375488281,519.9811401367188,0.7439132332801819,0.7556776404380798,934.767333984375,1032.068359375,0.8483619093894958,0.8599227666854858
Grenada,,7.915483002822628,12.477113160678243,5.92047691077909,8.43048186532314,445.0207214355469,516.0921020507812,0.7438817620277405,0.7771393656730652,871.0037231445312,978.87841796875,0.844247579574585,0.8686636686325073
Guadeloupe,,1.060710794345772,9.226385397736625,0.742825226061179,5.681167731827427,430.7541809082031,499.27679443359375,0.7233947515487671,0.757955014705658,925.8786010742188,1032.2813720703125,0.8428999781608582,0.8662107586860657
France,,1806.0139901838893,1524.8473129595243,56.8196787987044,6.602383936167828,6261.6005859375,17045.900390625,1.3612732887268066,2.7500908374786377,1612.9874267578125,9409.8037109375,0.2341754734516143,0.6801046133041382
French Polynesia,,12.116283470144486,854.0060229878263,2.8947962115202683,25.644969877207885,113.54653930664062,1032.6246337890625,0.204901173710823,0.5960808992385864,152.3436737060547,977.2924194335938,0.2430562376976013,0.5412473678588867
Hungary,,38.24941136046589,41.61985319750861,5.179823361621108,1.1790215880286286,175.87318420410156,265.6679382324219,0.1417326778173446,0.0711127668619155,134.3208770751953,200.6783905029297,0.1428071558475494,0.0594118945300579
Bulgaria,,62.29932411863833,156.2294234193001,12.194975133881892,7.088664809325819,369.6567993164063,886.3973388671875,0.3939979970455169,0.701949417591095,548.4974365234375,715.4924926757812,0.4538650512695312,0.5009874105453491
Australia,Victoria,21.93610405699516,136.52245233388692,3.584783507413651,8.586963957783317,43.65670394897461,125.15374755859376,0.0690600872039794,0.0887164026498794,57.00201797485352,133.57984924316406,0.0910313948988914,0.0952629819512367
